year,Susannah
1880,0
1881,0
1882,7
1883,0
1884,8
1885,7
1886,5
1887,7
1888,0
1889,0
1890,0
1891,5
1892,0
1893,0
1894,5
1895,8
1896,0
1897,7
1898,0
1899,6
1900,6
1901,0
1902,0
1903,6
1904,5
1905,5
1906,5
1907,0
1908,0
1909,6
1910,6
1911,0
1912,0
1913,10
1914,8
1915,9
1916,9
1917,13
1918,10
1919,9
1920,11
1921,7
1922,9
1923,14
1924,13
1925,5
1926,11
1927,11
1928,11
1929,7
1930,12
1931,11
1932,8
1933,7
1934,13
1935,11
1936,12
1937,21
1938,16
1939,26
1940,16
1941,23
1942,18
1943,31
1944,16
1945,24
1946,38
1947,21
1948,33
1949,33
1950,23
1951,25
1952,26
1953,42
1954,33
1955,33
1956,28
1957,29
1958,40
1959,41
1960,33
1961,42
1962,56
1963,60
1964,62
1965,64
1966,85
1967,113
1968,111
1969,130
1970,135
1971,137
1972,142
1973,149
1974,131
1975,152
1976,150
1977,135
1978,150
1979,143
1980,116
1981,139
1982,131
1983,119
1984,120
1985,120
1986,105
1987,121
1988,132
1989,121
1990,137
1991,142
1992,123
1993,119
1994,128
1995,138
1996,139
1997,127
1998,94
1999,93
2000,116
2001,89
2002,106
2003,96
2004,99
2005,91
2006,94
2007,94
2008,88
2009,77
2010,73
2011,78
2012,105
