year,Serena
1880,13
1881,13
1882,14
1883,10
1884,9
1885,13
1886,15
1887,16
1888,14
1889,24
1890,15
1891,15
1892,20
1893,13
1894,13
1895,18
1896,28
1897,22
1898,23
1899,17
1900,31
1901,18
1902,26
1903,17
1904,14
1905,20
1906,21
1907,22
1908,25
1909,24
1910,31
1911,17
1912,31
1913,24
1914,35
1915,38
1916,43
1917,57
1918,48
1919,35
1920,51
1921,46
1922,41
1923,37
1924,35
1925,50
1926,30
1927,41
1928,47
1929,28
1930,27
1931,33
1932,27
1933,34
1934,28
1935,33
1936,28
1937,36
1938,59
1939,50
1940,55
1941,37
1942,59
1943,47
1944,67
1945,59
1946,70
1947,66
1948,66
1949,68
1950,70
1951,84
1952,84
1953,79
1954,84
1955,125
1956,98
1957,116
1958,151
1959,163
1960,115
1961,142
1962,169
1963,180
1964,203
1965,182
1966,200
1967,261
1968,440
1969,675
1970,645
1971,585
1972,451
1973,404
1974,386
1975,444
1976,452
1977,506
1978,471
1979,502
1980,630
1981,535
1982,594
1983,595
1984,577
1985,569
1986,452
1987,448
1988,416
1989,454
1990,477
1991,498
1992,500
1993,546
1994,620
1995,829
1996,925
1997,1204
1998,1400
1999,1440
2000,1503
2001,1295
2002,1305
2003,1275
2004,1063
2005,865
2006,808
2007,809
2008,881
2009,813
2010,683
2011,681
2012,711
