year,Santos
1880,5
1881,0
1882,0
1883,0
1884,0
1885,9
1886,5
1887,0
1888,12
1889,0
1890,0
1891,0
1892,5
1893,0
1894,5
1895,0
1896,6
1897,12
1898,8
1899,11
1900,20
1901,19
1902,17
1903,18
1904,25
1905,27
1906,33
1907,31
1908,31
1909,29
1910,36
1911,30
1912,42
1913,37
1914,69
1915,85
1916,88
1917,95
1918,108
1919,132
1920,147
1921,156
1922,157
1923,177
1924,211
1925,207
1926,164
1927,189
1928,168
1929,146
1930,147
1931,118
1932,143
1933,135
1934,123
1935,112
1936,91
1937,107
1938,124
1939,128
1940,132
1941,123
1942,152
1943,132
1944,168
1945,172
1946,170
1947,189
1948,164
1949,175
1950,155
1951,163
1952,125
1953,154
1954,190
1955,145
1956,158
1957,165
1958,154
1959,181
1960,162
1961,170
1962,177
1963,163
1964,172
1965,147
1966,161
1967,170
1968,167
1969,168
1970,194
1971,207
1972,173
1973,190
1974,189
1975,214
1976,180
1977,188
1978,189
1979,180
1980,230
1981,239
1982,194
1983,215
1984,172
1985,189
1986,192
1987,189
1988,166
1989,178
1990,192
1991,223
1992,199
1993,233
1994,215
1995,233
1996,221
1997,229
1998,237
1999,238
2000,234
2001,251
2002,252
2003,284
2004,244
2005,264
2006,307
2007,278
2008,298
2009,253
2010,238
2011,228
2012,211
