year,Suzanne
1880,6
1881,6
1882,12
1883,0
1884,5
1885,5
1886,6
1887,9
1888,10
1889,11
1890,7
1891,5
1892,7
1893,10
1894,14
1895,9
1896,9
1897,12
1898,16
1899,15
1900,15
1901,18
1902,27
1903,22
1904,28
1905,16
1906,20
1907,27
1908,39
1909,56
1910,58
1911,64
1912,84
1913,98
1914,131
1915,169
1916,167
1917,194
1918,234
1919,199
1920,285
1921,376
1922,334
1923,359
1924,404
1925,414
1926,522
1927,509
1928,584
1929,603
1930,793
1931,805
1932,828
1933,950
1934,1340
1935,1316
1936,1350
1937,1546
1938,1816
1939,2040
1940,2344
1941,2616
1942,2714
1943,3297
1944,3474
1945,3776
1946,5959
1947,6244
1948,5452
1949,5621
1950,5279
1951,4830
1952,4917
1953,5477
1954,5242
1955,5137
1956,5035
1957,4668
1958,4639
1959,5174
1960,5974
1961,6619
1962,6872
1963,6831
1964,6497
1965,5926
1966,5690
1967,5505
1968,5057
1969,4922
1970,4437
1971,3946
1972,3312
1973,3047
1974,2706
1975,2327
1976,2206
1977,2383
1978,2520
1979,2253
1980,2114
1981,1781
1982,1634
1983,1408
1984,1300
1985,1099
1986,1014
1987,952
1988,892
1989,843
1990,715
1991,646
1992,568
1993,470
1994,424
1995,345
1996,334
1997,271
1998,255
1999,219
2000,207
2001,203
2002,175
2003,165
2004,143
2005,119
2006,124
2007,121
2008,115
2009,81
2010,87
2011,68
2012,86
