year,Serafina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,8
1902,0
1903,5
1904,0
1905,7
1906,7
1907,6
1908,0
1909,0
1910,0
1911,5
1912,6
1913,13
1914,8
1915,16
1916,14
1917,16
1918,16
1919,17
1920,15
1921,24
1922,17
1923,28
1924,34
1925,17
1926,16
1927,17
1928,15
1929,13
1930,14
1931,12
1932,13
1933,8
1934,6
1935,11
1936,5
1937,7
1938,7
1939,8
1940,8
1941,9
1942,13
1943,6
1944,5
1945,8
1946,0
1947,9
1948,5
1949,10
1950,8
1951,0
1952,0
1953,7
1954,0
1955,0
1956,8
1957,0
1958,0
1959,17
1960,6
1961,7
1962,11
1963,11
1964,7
1965,10
1966,9
1967,7
1968,7
1969,12
1970,7
1971,8
1972,7
1973,5
1974,10
1975,10
1976,7
1977,7
1978,12
1979,12
1980,12
1981,11
1982,10
1983,0
1984,10
1985,10
1986,7
1987,7
1988,12
1989,9
1990,21
1991,16
1992,14
1993,20
1994,14
1995,7
1996,13
1997,16
1998,22
1999,32
2000,25
2001,41
2002,37
2003,27
2004,40
2005,47
2006,36
2007,48
2008,70
2009,96
2010,82
2011,102
2012,102
