year,Samie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,6
1906,0
1907,9
1908,8
1909,5
1910,9
1911,0
1912,9
1913,12
1914,10
1915,17
1916,14
1917,18
1918,17
1919,23
1920,23
1921,32
1922,33
1923,23
1924,20
1925,16
1926,25
1927,21
1928,27
1929,17
1930,14
1931,18
1932,20
1933,7
1934,12
1935,14
1936,8
1937,0
1938,8
1939,9
1940,11
1941,8
1942,18
1943,11
1944,6
1945,13
1946,8
1947,12
1948,7
1949,5
1950,8
1951,5
1952,0
1953,0
1954,0
1955,12
1956,0
1957,0
1958,0
1959,0
1960,5
1961,0
1962,0
1963,11
1964,5
1965,7
1966,5
1967,6
1968,0
1969,0
1970,0
1971,0
1972,6
1973,0
1974,0
1975,6
1976,5
1977,8
1978,5
1979,0
1980,0
1981,6
1982,11
1983,6
1984,11
1985,6
1986,7
1987,6
1988,6
1989,0
1990,5
1991,0
1992,0
1993,0
1994,6
1995,0
1996,5
1997,0
1998,5
1999,5
2000,0
2001,0
2002,6
2003,0
2004,0
2005,0
2006,0
2007,5
2008,5
2009,0
2010,5
2011,0
2012,0
