year,Savannah
1880,17
1881,24
1882,20
1883,27
1884,36
1885,26
1886,32
1887,33
1888,37
1889,33
1890,33
1891,40
1892,47
1893,34
1894,38
1895,37
1896,31
1897,36
1898,46
1899,37
1900,53
1901,45
1902,53
1903,35
1904,31
1905,55
1906,37
1907,43
1908,45
1909,48
1910,60
1911,50
1912,59
1913,54
1914,62
1915,63
1916,63
1917,83
1918,74
1919,74
1920,89
1921,79
1922,69
1923,54
1924,88
1925,74
1926,54
1927,57
1928,65
1929,51
1930,42
1931,50
1932,42
1933,39
1934,48
1935,40
1936,36
1937,49
1938,35
1939,48
1940,42
1941,48
1942,30
1943,42
1944,34
1945,36
1946,35
1947,49
1948,35
1949,41
1950,45
1951,38
1952,32
1953,30
1954,40
1955,23
1956,43
1957,29
1958,25
1959,21
1960,21
1961,25
1962,17
1963,23
1964,12
1965,15
1966,15
1967,11
1968,16
1969,19
1970,30
1971,21
1972,23
1973,23
1974,17
1975,17
1976,19
1977,23
1978,20
1979,40
1980,47
1981,43
1982,118
1983,440
1984,868
1985,1326
1986,1817
1987,1469
1988,1321
1989,1294
1990,1401
1991,1648
1992,2183
1993,3348
1994,4394
1995,4913
1996,7006
1997,6577
1998,6466
1999,6801
2000,7109
2001,6739
2002,6584
2003,6154
2004,5845
2005,6481
2006,7085
2007,7048
2008,6130
2009,5581
2010,5363
2011,5433
2012,5166
