year,Suzanna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,7
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,7
1905,5
1906,0
1907,10
1908,6
1909,9
1910,6
1911,7
1912,8
1913,14
1914,21
1915,13
1916,12
1917,19
1918,14
1919,15
1920,17
1921,13
1922,17
1923,12
1924,18
1925,14
1926,9
1927,16
1928,23
1929,14
1930,10
1931,22
1932,16
1933,18
1934,22
1935,11
1936,12
1937,20
1938,20
1939,23
1940,26
1941,24
1942,36
1943,43
1944,55
1945,48
1946,77
1947,80
1948,63
1949,67
1950,75
1951,57
1952,58
1953,79
1954,84
1955,85
1956,91
1957,119
1958,148
1959,132
1960,151
1961,122
1962,142
1963,139
1964,108
1965,119
1966,110
1967,134
1968,143
1969,157
1970,135
1971,140
1972,175
1973,186
1974,167
1975,153
1976,163
1977,170
1978,159
1979,143
1980,152
1981,160
1982,169
1983,150
1984,161
1985,150
1986,149
1987,134
1988,150
1989,124
1990,128
1991,145
1992,149
1993,114
1994,124
1995,147
1996,149
1997,135
1998,121
1999,112
2000,92
2001,110
2002,109
2003,92
2004,100
2005,101
2006,88
2007,94
2008,95
2009,70
2010,79
2011,78
2012,83
