year,Shellie
1880,0
1881,0
1882,5
1883,0
1884,0
1885,5
1886,0
1887,7
1888,5
1889,7
1890,15
1891,8
1892,5
1893,11
1894,6
1895,17
1896,17
1897,8
1898,10
1899,7
1900,18
1901,5
1902,11
1903,14
1904,7
1905,6
1906,15
1907,14
1908,21
1909,16
1910,24
1911,19
1912,22
1913,25
1914,37
1915,25
1916,38
1917,36
1918,46
1919,32
1920,40
1921,39
1922,41
1923,26
1924,25
1925,25
1926,35
1927,31
1928,16
1929,21
1930,28
1931,24
1932,21
1933,27
1934,28
1935,17
1936,20
1937,24
1938,28
1939,29
1940,30
1941,36
1942,26
1943,25
1944,27
1945,34
1946,34
1947,42
1948,38
1949,73
1950,107
1951,110
1952,108
1953,95
1954,124
1955,112
1956,135
1957,151
1958,151
1959,187
1960,214
1961,243
1962,351
1963,347
1964,398
1965,400
1966,349
1967,382
1968,374
1969,410
1970,423
1971,390
1972,343
1973,329
1974,307
1975,322
1976,254
1977,228
1978,201
1979,188
1980,156
1981,152
1982,130
1983,129
1984,121
1985,126
1986,93
1987,74
1988,71
1989,53
1990,56
1991,64
1992,45
1993,45
1994,30
1995,26
1996,41
1997,35
1998,20
1999,18
2000,34
2001,25
2002,15
2003,18
2004,14
2005,13
2006,9
2007,8
2008,0
2009,7
2010,7
2011,9
2012,0
