year,Sun
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,11
1915,0
1916,0
1917,0
1918,7
1919,8
1920,6
1921,7
1922,7
1923,5
1924,0
1925,6
1926,5
1927,0
1928,0
1929,6
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,6
1940,0
1941,5
1942,0
1943,0
1944,0
1945,7
1946,0
1947,8
1948,0
1949,9
1950,0
1951,7
1952,6
1953,12
1954,7
1955,8
1956,10
1957,7
1958,9
1959,8
1960,21
1961,7
1962,7
1963,5
1964,0
1965,0
1966,6
1967,0
1968,5
1969,0
1970,11
1971,16
1972,16
1973,0
1974,18
1975,21
1976,15
1977,20
1978,25
1979,16
1980,23
1981,21
1982,25
1983,25
1984,24
1985,14
1986,19
1987,17
1988,17
1989,19
1990,17
1991,22
1992,6
1993,7
1994,22
1995,5
1996,15
1997,8
1998,5
1999,10
2000,16
2001,18
2002,5
2003,8
2004,8
2005,8
2006,7
2007,5
2008,5
2009,10
2010,7
2011,0
2012,0
