year,Santa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,6
1897,0
1898,0
1899,6
1900,5
1901,6
1902,0
1903,0
1904,16
1905,8
1906,5
1907,15
1908,20
1909,13
1910,18
1911,26
1912,26
1913,45
1914,59
1915,90
1916,88
1917,74
1918,72
1919,74
1920,71
1921,74
1922,70
1923,89
1924,88
1925,82
1926,80
1927,70
1928,66
1929,54
1930,68
1931,54
1932,36
1933,48
1934,48
1935,32
1936,48
1937,41
1938,41
1939,37
1940,31
1941,30
1942,47
1943,32
1944,27
1945,44
1946,40
1947,44
1948,49
1949,42
1950,56
1951,47
1952,44
1953,39
1954,62
1955,50
1956,45
1957,56
1958,46
1959,37
1960,52
1961,60
1962,45
1963,33
1964,44
1965,46
1966,44
1967,39
1968,38
1969,52
1970,50
1971,41
1972,42
1973,44
1974,38
1975,41
1976,45
1977,36
1978,45
1979,61
1980,43
1981,30
1982,29
1983,35
1984,27
1985,28
1986,24
1987,22
1988,18
1989,20
1990,21
1991,24
1992,24
1993,22
1994,24
1995,21
1996,27
1997,19
1998,20
1999,14
2000,5
2001,10
2002,14
2003,6
2004,9
2005,11
2006,20
2007,11
2008,15
2009,12
2010,10
2011,9
2012,11
