year,Simona
1880,0
1881,0
1882,0
1883,9
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,0
1898,0
1899,0
1900,0
1901,7
1902,0
1903,0
1904,7
1905,5
1906,11
1907,7
1908,8
1909,9
1910,11
1911,14
1912,16
1913,8
1914,23
1915,24
1916,16
1917,21
1918,20
1919,27
1920,19
1921,30
1922,33
1923,23
1924,32
1925,38
1926,26
1927,35
1928,30
1929,36
1930,27
1931,21
1932,30
1933,23
1934,17
1935,20
1936,28
1937,21
1938,22
1939,23
1940,18
1941,23
1942,19
1943,23
1944,27
1945,16
1946,24
1947,18
1948,19
1949,16
1950,9
1951,19
1952,22
1953,14
1954,17
1955,15
1956,20
1957,12
1958,11
1959,11
1960,14
1961,26
1962,26
1963,10
1964,14
1965,26
1966,21
1967,38
1968,36
1969,43
1970,51
1971,59
1972,54
1973,44
1974,50
1975,49
1976,43
1977,42
1978,50
1979,41
1980,47
1981,48
1982,43
1983,35
1984,46
1985,28
1986,22
1987,31
1988,48
1989,44
1990,38
1991,39
1992,39
1993,35
1994,37
1995,44
1996,37
1997,32
1998,45
1999,37
2000,47
2001,33
2002,52
2003,55
2004,48
2005,65
2006,45
2007,54
2008,62
2009,52
2010,54
2011,55
2012,56
