year,Samson
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,8
1893,0
1894,0
1895,0
1896,0
1897,6
1898,5
1899,0
1900,6
1901,0
1902,0
1903,5
1904,7
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,7
1912,9
1913,11
1914,18
1915,12
1916,20
1917,16
1918,21
1919,21
1920,19
1921,20
1922,16
1923,13
1924,17
1925,25
1926,11
1927,16
1928,21
1929,11
1930,18
1931,16
1932,17
1933,10
1934,13
1935,16
1936,16
1937,8
1938,13
1939,11
1940,16
1941,14
1942,12
1943,18
1944,18
1945,15
1946,12
1947,16
1948,13
1949,11
1950,25
1951,22
1952,28
1953,26
1954,22
1955,23
1956,30
1957,22
1958,25
1959,20
1960,21
1961,29
1962,24
1963,24
1964,31
1965,21
1966,22
1967,25
1968,31
1969,28
1970,34
1971,48
1972,35
1973,42
1974,52
1975,40
1976,62
1977,76
1978,60
1979,80
1980,87
1981,85
1982,84
1983,85
1984,95
1985,109
1986,74
1987,89
1988,131
1989,97
1990,126
1991,108
1992,119
1993,123
1994,131
1995,122
1996,116
1997,135
1998,138
1999,155
2000,174
2001,172
2002,183
2003,158
2004,176
2005,150
2006,220
2007,225
2008,214
2009,241
2010,243
2011,241
2012,280
