year,Silvia
1880,0
1881,0
1882,0
1883,0
1884,6
1885,0
1886,7
1887,7
1888,5
1889,7
1890,7
1891,0
1892,0
1893,0
1894,7
1895,6
1896,9
1897,12
1898,9
1899,12
1900,12
1901,10
1902,12
1903,13
1904,5
1905,10
1906,8
1907,11
1908,9
1909,15
1910,19
1911,16
1912,30
1913,17
1914,24
1915,34
1916,43
1917,41
1918,43
1919,54
1920,42
1921,43
1922,36
1923,55
1924,27
1925,36
1926,47
1927,43
1928,35
1929,22
1930,30
1931,37
1932,15
1933,28
1934,25
1935,41
1936,37
1937,33
1938,46
1939,44
1940,48
1941,44
1942,57
1943,50
1944,58
1945,58
1946,82
1947,72
1948,80
1949,94
1950,99
1951,128
1952,127
1953,131
1954,137
1955,231
1956,235
1957,255
1958,251
1959,242
1960,227
1961,265
1962,265
1963,251
1964,261
1965,296
1966,278
1967,283
1968,285
1969,326
1970,296
1971,295
1972,315
1973,288
1974,356
1975,345
1976,330
1977,323
1978,318
1979,357
1980,316
1981,342
1982,350
1983,314
1984,299
1985,341
1986,327
1987,264
1988,368
1989,357
1990,370
1991,372
1992,372
1993,326
1994,330
1995,304
1996,294
1997,260
1998,266
1999,243
2000,258
2001,262
2002,210
2003,239
2004,235
2005,247
2006,244
2007,240
2008,205
2009,238
2010,185
2011,188
2012,182
