year,Suzie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,6
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,6
1914,0
1915,0
1916,0
1917,5
1918,0
1919,0
1920,0
1921,0
1922,7
1923,13
1924,7
1925,5
1926,0
1927,7
1928,8
1929,9
1930,9
1931,5
1932,12
1933,10
1934,15
1935,13
1936,14
1937,27
1938,19
1939,21
1940,22
1941,14
1942,35
1943,46
1944,36
1945,49
1946,60
1947,79
1948,74
1949,39
1950,47
1951,36
1952,37
1953,31
1954,36
1955,52
1956,57
1957,90
1958,112
1959,113
1960,131
1961,160
1962,173
1963,155
1964,115
1965,97
1966,85
1967,69
1968,59
1969,72
1970,78
1971,50
1972,62
1973,51
1974,44
1975,40
1976,35
1977,39
1978,34
1979,27
1980,27
1981,34
1982,40
1983,27
1984,26
1985,34
1986,22
1987,32
1988,22
1989,29
1990,28
1991,21
1992,20
1993,21
1994,19
1995,17
1996,16
1997,15
1998,12
1999,16
2000,18
2001,14
2002,24
2003,22
2004,18
2005,25
2006,18
2007,15
2008,25
2009,23
2010,11
2011,25
2012,22
