year,Sofia
1880,0
1881,6
1882,0
1883,0
1884,0
1885,0
1886,10
1887,5
1888,12
1889,12
1890,8
1891,14
1892,15
1893,10
1894,7
1895,12
1896,11
1897,5
1898,21
1899,10
1900,17
1901,14
1902,12
1903,11
1904,11
1905,9
1906,19
1907,17
1908,18
1909,38
1910,37
1911,33
1912,32
1913,42
1914,38
1915,44
1916,52
1917,58
1918,44
1919,49
1920,60
1921,64
1922,57
1923,61
1924,68
1925,76
1926,47
1927,64
1928,71
1929,60
1930,78
1931,60
1932,37
1933,47
1934,35
1935,49
1936,43
1937,23
1938,39
1939,43
1940,46
1941,31
1942,24
1943,39
1944,36
1945,33
1946,35
1947,51
1948,39
1949,46
1950,55
1951,44
1952,39
1953,47
1954,51
1955,54
1956,44
1957,56
1958,59
1959,64
1960,69
1961,68
1962,78
1963,84
1964,91
1965,90
1966,96
1967,104
1968,89
1969,128
1970,125
1971,157
1972,132
1973,139
1974,149
1975,157
1976,160
1977,191
1978,177
1979,195
1980,190
1981,266
1982,240
1983,261
1984,251
1985,263
1986,243
1987,314
1988,281
1989,328
1990,348
1991,448
1992,452
1993,558
1994,510
1995,607
1996,766
1997,1183
1998,1346
1999,1608
2000,2093
2001,2287
2002,3058
2003,3485
2004,4490
2005,5167
2006,5086
2007,6051
2008,5983
2009,5687
2010,6323
2011,7314
2012,7814
