year,Sinclair
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,8
1901,0
1902,5
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,7
1911,0
1912,10
1913,12
1914,14
1915,17
1916,17
1917,21
1918,14
1919,12
1920,19
1921,17
1922,22
1923,26
1924,29
1925,11
1926,12
1927,15
1928,23
1929,22
1930,14
1931,24
1932,20
1933,17
1934,13
1935,13
1936,12
1937,15
1938,12
1939,17
1940,6
1941,9
1942,11
1943,19
1944,13
1945,12
1946,15
1947,13
1948,11
1949,11
1950,15
1951,24
1952,22
1953,13
1954,17
1955,19
1956,15
1957,12
1958,16
1959,15
1960,12
1961,13
1962,11
1963,8
1964,11
1965,7
1966,11
1967,6
1968,17
1969,10
1970,11
1971,13
1972,10
1973,6
1974,13
1975,10
1976,11
1977,12
1978,8
1979,17
1980,12
1981,16
1982,13
1983,18
1984,16
1985,11
1986,21
1987,16
1988,23
1989,23
1990,22
1991,8
1992,16
1993,23
1994,31
1995,25
1996,30
1997,22
1998,21
1999,23
2000,20
2001,15
2002,21
2003,11
2004,16
2005,17
2006,15
2007,8
2008,20
2009,15
2010,16
2011,22
2012,12
