year,Steward
1880,0
1881,0
1882,6
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,6
1890,0
1891,0
1892,7
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,9
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,7
1913,8
1914,14
1915,14
1916,10
1917,17
1918,28
1919,23
1920,37
1921,23
1922,23
1923,17
1924,21
1925,25
1926,17
1927,23
1928,21
1929,10
1930,20
1931,17
1932,11
1933,13
1934,12
1935,12
1936,10
1937,16
1938,13
1939,9
1940,13
1941,18
1942,11
1943,16
1944,14
1945,19
1946,12
1947,19
1948,17
1949,21
1950,13
1951,10
1952,14
1953,18
1954,19
1955,22
1956,18
1957,14
1958,17
1959,15
1960,16
1961,16
1962,18
1963,12
1964,13
1965,12
1966,10
1967,5
1968,11
1969,12
1970,8
1971,9
1972,13
1973,11
1974,9
1975,8
1976,10
1977,10
1978,11
1979,16
1980,14
1981,7
1982,7
1983,12
1984,6
1985,12
1986,10
1987,16
1988,10
1989,14
1990,12
1991,0
1992,5
1993,6
1994,6
1995,10
1996,0
1997,6
1998,5
1999,0
2000,0
2001,0
2002,7
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
