year,Stacia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,6
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,8
1905,0
1906,6
1907,6
1908,7
1909,8
1910,16
1911,10
1912,10
1913,34
1914,31
1915,44
1916,57
1917,58
1918,78
1919,56
1920,54
1921,51
1922,31
1923,41
1924,29
1925,20
1926,23
1927,10
1928,17
1929,12
1930,14
1931,9
1932,16
1933,0
1934,7
1935,14
1936,5
1937,0
1938,10
1939,8
1940,9
1941,9
1942,15
1943,14
1944,16
1945,17
1946,21
1947,22
1948,24
1949,19
1950,35
1951,18
1952,20
1953,31
1954,44
1955,43
1956,39
1957,60
1958,59
1959,59
1960,89
1961,89
1962,110
1963,108
1964,122
1965,139
1966,142
1967,148
1968,179
1969,221
1970,305
1971,304
1972,235
1973,231
1974,237
1975,220
1976,211
1977,264
1978,204
1979,200
1980,188
1981,171
1982,172
1983,184
1984,165
1985,190
1986,200
1987,156
1988,170
1989,167
1990,174
1991,180
1992,190
1993,167
1994,131
1995,95
1996,117
1997,99
1998,97
1999,95
2000,85
2001,81
2002,75
2003,72
2004,49
2005,50
2006,56
2007,44
2008,39
2009,36
2010,27
2011,17
2012,10
