year,Selby
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,0
1912,0
1913,0
1914,7
1915,9
1916,17
1917,16
1918,20
1919,13
1920,15
1921,21
1922,24
1923,11
1924,17
1925,13
1926,9
1927,6
1928,12
1929,14
1930,13
1931,9
1932,16
1933,10
1934,15
1935,14
1936,9
1937,14
1938,7
1939,17
1940,6
1941,12
1942,13
1943,10
1944,10
1945,5
1946,7
1947,10
1948,7
1949,0
1950,14
1951,8
1952,9
1953,9
1954,12
1955,13
1956,6
1957,12
1958,6
1959,6
1960,8
1961,5
1962,7
1963,8
1964,5
1965,0
1966,0
1967,6
1968,6
1969,8
1970,7
1971,6
1972,5
1973,7
1974,6
1975,0
1976,5
1977,9
1978,0
1979,0
1980,0
1981,0
1982,0
1983,7
1984,0
1985,0
1986,5
1987,17
1988,8
1989,0
1990,12
1991,11
1992,9
1993,26
1994,14
1995,18
1996,13
1997,15
1998,17
1999,5
2000,0
2001,0
2002,10
2003,14
2004,11
2005,0
2006,18
2007,9
2008,14
2009,13
2010,8
2011,10
2012,7
