year,Salome
1880,11
1881,6
1882,0
1883,9
1884,14
1885,0
1886,7
1887,11
1888,8
1889,12
1890,13
1891,10
1892,7
1893,16
1894,16
1895,18
1896,10
1897,14
1898,15
1899,13
1900,16
1901,15
1902,16
1903,23
1904,23
1905,18
1906,18
1907,17
1908,26
1909,16
1910,24
1911,10
1912,21
1913,27
1914,31
1915,33
1916,35
1917,40
1918,30
1919,40
1920,34
1921,39
1922,38
1923,31
1924,36
1925,29
1926,37
1927,23
1928,35
1929,24
1930,25
1931,25
1932,25
1933,23
1934,23
1935,29
1936,20
1937,18
1938,14
1939,8
1940,11
1941,27
1942,17
1943,20
1944,16
1945,22
1946,23
1947,20
1948,7
1949,20
1950,6
1951,12
1952,25
1953,30
1954,26
1955,15
1956,23
1957,19
1958,15
1959,22
1960,23
1961,18
1962,21
1963,29
1964,19
1965,6
1966,23
1967,13
1968,11
1969,19
1970,23
1971,23
1972,23
1973,22
1974,22
1975,23
1976,25
1977,31
1978,26
1979,28
1980,21
1981,33
1982,26
1983,23
1984,24
1985,20
1986,13
1987,28
1988,35
1989,30
1990,24
1991,36
1992,28
1993,21
1994,43
1995,30
1996,39
1997,28
1998,30
1999,52
2000,57
2001,46
2002,64
2003,45
2004,63
2005,96
2006,81
2007,83
2008,85
2009,76
2010,82
2011,73
2012,77
