year,Sunny
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,6
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,7
1913,14
1914,18
1915,0
1916,13
1917,16
1918,16
1919,20
1920,19
1921,11
1922,23
1923,13
1924,30
1925,20
1926,16
1927,20
1928,16
1929,25
1930,33
1931,14
1932,26
1933,20
1934,21
1935,21
1936,30
1937,33
1938,44
1939,36
1940,51
1941,50
1942,81
1943,63
1944,63
1945,71
1946,65
1947,66
1948,57
1949,43
1950,47
1951,49
1952,60
1953,75
1954,74
1955,48
1956,39
1957,46
1958,51
1959,51
1960,31
1961,31
1962,29
1963,38
1964,34
1965,23
1966,49
1967,55
1968,74
1969,95
1970,98
1971,147
1972,140
1973,111
1974,125
1975,350
1976,342
1977,267
1978,210
1979,216
1980,227
1981,208
1982,209
1983,161
1984,162
1985,220
1986,217
1987,203
1988,224
1989,198
1990,195
1991,212
1992,174
1993,164
1994,208
1995,138
1996,165
1997,183
1998,186
1999,178
2000,179
2001,156
2002,150
2003,173
2004,158
2005,210
2006,196
2007,193
2008,165
2009,226
2010,253
2011,225
2012,251
