year,Susie
1880,361
1881,367
1882,412
1883,436
1884,455
1885,477
1886,559
1887,485
1888,621
1889,607
1890,630
1891,566
1892,674
1893,644
1894,678
1895,681
1896,718
1897,632
1898,702
1899,622
1900,952
1901,650
1902,717
1903,686
1904,662
1905,739
1906,693
1907,756
1908,706
1909,776
1910,863
1911,822
1912,976
1913,965
1914,1165
1915,1278
1916,1313
1917,1334
1918,1394
1919,1480
1920,1401
1921,1326
1922,1313
1923,1345
1924,1280
1925,1320
1926,1160
1927,1111
1928,1063
1929,937
1930,926
1931,880
1932,808
1933,749
1934,754
1935,773
1936,741
1937,802
1938,799
1939,752
1940,743
1941,753
1942,835
1943,907
1944,930
1945,896
1946,1077
1947,1070
1948,1026
1949,996
1950,941
1951,889
1952,879
1953,886
1954,928
1955,907
1956,992
1957,1251
1958,1357
1959,1285
1960,1203
1961,1136
1962,1014
1963,977
1964,872
1965,600
1966,597
1967,530
1968,463
1969,431
1970,355
1971,388
1972,364
1973,315
1974,312
1975,286
1976,242
1977,236
1978,235
1979,241
1980,223
1981,241
1982,187
1983,161
1984,171
1985,162
1986,146
1987,154
1988,180
1989,158
1990,162
1991,156
1992,122
1993,106
1994,109
1995,89
1996,113
1997,87
1998,86
1999,71
2000,86
2001,80
2002,80
2003,67
2004,69
2005,69
2006,89
2007,82
2008,85
2009,83
2010,81
2011,81
2012,81
