year,Solon
1880,8
1881,12
1882,5
1883,0
1884,10
1885,5
1886,7
1887,5
1888,6
1889,0
1890,0
1891,0
1892,0
1893,0
1894,6
1895,0
1896,7
1897,5
1898,0
1899,0
1900,8
1901,0
1902,6
1903,0
1904,0
1905,6
1906,6
1907,6
1908,10
1909,9
1910,0
1911,9
1912,14
1913,11
1914,12
1915,26
1916,33
1917,18
1918,25
1919,23
1920,24
1921,30
1922,31
1923,15
1924,23
1925,29
1926,22
1927,19
1928,16
1929,18
1930,23
1931,20
1932,17
1933,9
1934,9
1935,13
1936,16
1937,9
1938,17
1939,15
1940,11
1941,11
1942,11
1943,12
1944,10
1945,13
1946,11
1947,11
1948,12
1949,8
1950,8
1951,15
1952,12
1953,10
1954,10
1955,8
1956,9
1957,0
1958,0
1959,8
1960,10
1961,0
1962,5
1963,9
1964,6
1965,7
1966,12
1967,5
1968,16
1969,8
1970,10
1971,7
1972,6
1973,0
1974,8
1975,7
1976,6
1977,9
1978,8
1979,0
1980,8
1981,7
1982,0
1983,6
1984,5
1985,6
1986,0
1987,5
1988,0
1989,5
1990,0
1991,0
1992,8
1993,6
1994,8
1995,5
1996,10
1997,12
1998,8
1999,6
2000,12
2001,7
2002,11
2003,12
2004,14
2005,7
2006,14
2007,14
2008,8
2009,13
2010,9
2011,6
2012,9
