year,Spurgeon
1880,5
1881,0
1882,0
1883,6
1884,6
1885,8
1886,0
1887,0
1888,0
1889,0
1890,0
1891,7
1892,12
1893,6
1894,9
1895,8
1896,5
1897,5
1898,7
1899,8
1900,9
1901,9
1902,8
1903,5
1904,0
1905,0
1906,0
1907,6
1908,0
1909,9
1910,12
1911,10
1912,18
1913,28
1914,32
1915,37
1916,34
1917,43
1918,45
1919,45
1920,33
1921,37
1922,29
1923,31
1924,37
1925,33
1926,23
1927,34
1928,24
1929,21
1930,24
1931,20
1932,19
1933,23
1934,12
1935,19
1936,16
1937,13
1938,15
1939,15
1940,12
1941,21
1942,13
1943,26
1944,13
1945,18
1946,16
1947,20
1948,15
1949,11
1950,12
1951,19
1952,12
1953,19
1954,15
1955,17
1956,8
1957,10
1958,12
1959,11
1960,12
1961,9
1962,5
1963,8
1964,8
1965,0
1966,8
1967,10
1968,6
1969,10
1970,7
1971,13
1972,9
1973,6
1974,8
1975,0
1976,8
1977,7
1978,0
1979,5
1980,5
1981,0
1982,5
1983,0
1984,0
1985,0
1986,0
1987,6
1988,0
1989,0
1990,0
1991,0
1992,5
1993,7
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,5
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
