year,Sybil
1880,0
1881,6
1882,11
1883,5
1884,7
1885,10
1886,9
1887,9
1888,16
1889,14
1890,10
1891,25
1892,18
1893,18
1894,22
1895,29
1896,31
1897,37
1898,39
1899,51
1900,64
1901,52
1902,56
1903,54
1904,58
1905,60
1906,84
1907,55
1908,76
1909,81
1910,106
1911,96
1912,117
1913,165
1914,206
1915,269
1916,287
1917,288
1918,460
1919,515
1920,483
1921,541
1922,463
1923,455
1924,485
1925,439
1926,381
1927,438
1928,418
1929,337
1930,319
1931,275
1932,268
1933,286
1934,270
1935,286
1936,370
1937,321
1938,358
1939,366
1940,368
1941,304
1942,293
1943,287
1944,256
1945,241
1946,276
1947,249
1948,220
1949,214
1950,208
1951,225
1952,215
1953,201
1954,194
1955,178
1956,168
1957,169
1958,182
1959,146
1960,165
1961,129
1962,181
1963,211
1964,142
1965,153
1966,144
1967,103
1968,89
1969,79
1970,76
1971,83
1972,88
1973,103
1974,117
1975,119
1976,105
1977,89
1978,61
1979,91
1980,93
1981,70
1982,47
1983,33
1984,39
1985,32
1986,53
1987,40
1988,32
1989,32
1990,33
1991,26
1992,29
1993,18
1994,24
1995,20
1996,11
1997,15
1998,12
1999,9
2000,16
2001,18
2002,8
2003,9
2004,15
2005,20
2006,19
2007,15
2008,18
2009,12
2010,12
2011,13
2012,16
