year,Susanna
1880,21
1881,21
1882,22
1883,22
1884,35
1885,27
1886,41
1887,31
1888,27
1889,25
1890,34
1891,37
1892,46
1893,48
1894,32
1895,50
1896,36
1897,36
1898,52
1899,39
1900,35
1901,28
1902,41
1903,35
1904,48
1905,36
1906,33
1907,45
1908,44
1909,32
1910,45
1911,42
1912,61
1913,52
1914,71
1915,108
1916,110
1917,97
1918,103
1919,92
1920,91
1921,84
1922,69
1923,63
1924,92
1925,77
1926,72
1927,59
1928,61
1929,77
1930,56
1931,53
1932,55
1933,55
1934,62
1935,52
1936,61
1937,73
1938,60
1939,77
1940,104
1941,91
1942,97
1943,108
1944,122
1945,119
1946,126
1947,127
1948,156
1949,139
1950,146
1951,122
1952,118
1953,145
1954,150
1955,138
1956,180
1957,266
1958,310
1959,284
1960,223
1961,203
1962,212
1963,218
1964,215
1965,204
1966,201
1967,210
1968,223
1969,240
1970,216
1971,255
1972,266
1973,239
1974,221
1975,240
1976,241
1977,269
1978,243
1979,275
1980,255
1981,268
1982,255
1983,263
1984,257
1985,236
1986,264
1987,244
1988,222
1989,228
1990,232
1991,227
1992,215
1993,202
1994,205
1995,200
1996,224
1997,199
1998,183
1999,155
2000,175
2001,182
2002,183
2003,197
2004,191
2005,178
2006,185
2007,194
2008,161
2009,164
2010,155
2011,169
2012,188
