year,Soledad
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,7
1900,5
1901,9
1902,5
1903,9
1904,6
1905,0
1906,0
1907,7
1908,6
1909,6
1910,6
1911,5
1912,16
1913,17
1914,16
1915,29
1916,29
1917,31
1918,33
1919,52
1920,44
1921,37
1922,49
1923,48
1924,56
1925,53
1926,46
1927,51
1928,56
1929,54
1930,43
1931,38
1932,21
1933,22
1934,25
1935,18
1936,15
1937,17
1938,17
1939,16
1940,15
1941,11
1942,11
1943,17
1944,19
1945,13
1946,13
1947,18
1948,18
1949,22
1950,31
1951,15
1952,24
1953,19
1954,22
1955,29
1956,26
1957,20
1958,30
1959,17
1960,18
1961,27
1962,24
1963,25
1964,21
1965,16
1966,22
1967,18
1968,21
1969,30
1970,21
1971,38
1972,20
1973,28
1974,37
1975,40
1976,42
1977,46
1978,39
1979,37
1980,43
1981,35
1982,47
1983,39
1984,35
1985,37
1986,34
1987,38
1988,31
1989,44
1990,60
1991,77
1992,60
1993,63
1994,65
1995,63
1996,72
1997,66
1998,53
1999,53
2000,59
2001,72
2002,69
2003,73
2004,71
2005,73
2006,81
2007,70
2008,70
2009,64
2010,44
2011,38
2012,41
