year,Sonia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,7
1896,5
1897,6
1898,5
1899,7
1900,8
1901,6
1902,9
1903,6
1904,10
1905,7
1906,8
1907,14
1908,16
1909,23
1910,20
1911,23
1912,37
1913,45
1914,57
1915,61
1916,66
1917,79
1918,104
1919,96
1920,76
1921,79
1922,79
1923,86
1924,97
1925,108
1926,134
1927,218
1928,184
1929,169
1930,167
1931,163
1932,198
1933,212
1934,235
1935,226
1936,251
1937,346
1938,429
1939,282
1940,299
1941,237
1942,249
1943,262
1944,201
1945,233
1946,223
1947,280
1948,273
1949,312
1950,333
1951,396
1952,441
1953,439
1954,536
1955,588
1956,631
1957,746
1958,837
1959,922
1960,957
1961,984
1962,1025
1963,1172
1964,1221
1965,1252
1966,1537
1967,1501
1968,1566
1969,1749
1970,1778
1971,1700
1972,1623
1973,1607
1974,1591
1975,1499
1976,1562
1977,1376
1978,1274
1979,1287
1980,1260
1981,1146
1982,1060
1983,974
1984,935
1985,899
1986,857
1987,839
1988,795
1989,873
1990,878
1991,859
1992,812
1993,814
1994,712
1995,711
1996,638
1997,647
1998,635
1999,574
2000,532
2001,542
2002,518
2003,498
2004,514
2005,488
2006,481
2007,460
2008,422
2009,424
2010,392
2011,351
2012,328
