year,Simeon
1880,23
1881,17
1882,19
1883,13
1884,19
1885,10
1886,14
1887,6
1888,18
1889,14
1890,6
1891,0
1892,13
1893,8
1894,7
1895,11
1896,6
1897,6
1898,8
1899,0
1900,0
1901,6
1902,10
1903,5
1904,7
1905,7
1906,12
1907,9
1908,7
1909,6
1910,10
1911,9
1912,22
1913,18
1914,21
1915,34
1916,30
1917,34
1918,28
1919,32
1920,28
1921,23
1922,22
1923,26
1924,38
1925,33
1926,28
1927,26
1928,16
1929,33
1930,28
1931,27
1932,29
1933,25
1934,19
1935,24
1936,14
1937,14
1938,23
1939,24
1940,20
1941,25
1942,17
1943,23
1944,25
1945,20
1946,19
1947,24
1948,31
1949,15
1950,32
1951,23
1952,26
1953,24
1954,22
1955,21
1956,31
1957,25
1958,29
1959,29
1960,30
1961,19
1962,30
1963,36
1964,30
1965,28
1966,33
1967,22
1968,28
1969,31
1970,46
1971,46
1972,61
1973,55
1974,59
1975,64
1976,64
1977,84
1978,61
1979,69
1980,99
1981,100
1982,79
1983,77
1984,89
1985,73
1986,81
1987,80
1988,88
1989,116
1990,91
1991,89
1992,92
1993,101
1994,91
1995,116
1996,149
1997,147
1998,175
1999,156
2000,178
2001,155
2002,148
2003,209
2004,209
2005,215
2006,196
2007,215
2008,208
2009,193
2010,195
2011,177
2012,202
