year,Simone
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,5
1910,8
1911,15
1912,17
1913,31
1914,22
1915,29
1916,41
1917,36
1918,37
1919,32
1920,50
1921,35
1922,60
1923,48
1924,43
1925,45
1926,38
1927,32
1928,46
1929,29
1930,22
1931,29
1932,23
1933,23
1934,15
1935,16
1936,40
1937,99
1938,84
1939,51
1940,69
1941,59
1942,59
1943,49
1944,38
1945,44
1946,55
1947,54
1948,67
1949,52
1950,51
1951,61
1952,61
1953,50
1954,44
1955,53
1956,60
1957,58
1958,39
1959,105
1960,261
1961,292
1962,216
1963,202
1964,248
1965,225
1966,305
1967,275
1968,272
1969,271
1970,271
1971,251
1972,229
1973,224
1974,192
1975,195
1976,193
1977,198
1978,257
1979,231
1980,233
1981,417
1982,283
1983,276
1984,271
1985,234
1986,270
1987,424
1988,808
1989,750
1990,777
1991,707
1992,630
1993,570
1994,524
1995,552
1996,580
1997,556
1998,578
1999,444
2000,458
2001,521
2002,503
2003,520
2004,623
2005,531
2006,538
2007,600
2008,561
2009,492
2010,431
2011,448
2012,436
