year,Spencer (F),Spencer (M)
1880,0.000000,0.000174
1881,0.000000,0.000135
1882,0.000000,0.000149
1883,0.000000,0.000129
1884,0.000000,0.000131
1885,0.000000,0.000095
1886,0.000000,0.000114
1887,0.000000,0.000166
1888,0.000000,0.000127
1889,0.000000,0.000097
1890,0.000000,0.000100
1891,0.000000,0.000115
1892,0.000000,0.000099
1893,0.000000,0.000065
1894,0.000000,0.000080
1895,0.000000,0.000100
1896,0.000000,0.000078
1897,0.000000,0.000066
1898,0.000000,0.000105
1899,0.000000,0.000115
1900,0.000000,0.000098
1901,0.000000,0.000087
1902,0.000000,0.000083
1903,0.000000,0.000073
1904,0.000000,0.000109
1905,0.000000,0.000090
1906,0.000000,0.000068
1907,0.000000,0.000088
1908,0.000000,0.000125
1909,0.000000,0.000096
1910,0.000000,0.000091
1911,0.000000,0.000109
1912,0.000000,0.000106
1913,0.000000,0.000109
1914,0.000000,0.000088
1915,0.000000,0.000083
1916,0.000000,0.000087
1917,0.000000,0.000102
1918,0.000000,0.000097
1919,0.000000,0.000076
1920,0.000000,0.000101
1921,0.000000,0.000084
1922,0.000003,0.000086
1923,0.000000,0.000087
1924,0.000000,0.000079
1925,0.000000,0.000076
1926,0.000000,0.000077
1927,0.000000,0.000078
1928,0.000000,0.000074
1929,0.000000,0.000072
1930,0.000000,0.000068
1931,0.000003,0.000067
1932,0.000000,0.000072
1933,0.000000,0.000078
1934,0.000000,0.000089
1935,0.000000,0.000078
1936,0.000000,0.000093
1937,0.000000,0.000085
1938,0.000000,0.000093
1939,0.000000,0.000118
1940,0.000000,0.000113
1941,0.000000,0.000119
1942,0.000000,0.000115
1943,0.000000,0.000124
1944,0.000000,0.000105
1945,0.000000,0.000100
1946,0.000000,0.000095
1947,0.000000,0.000094
1948,0.000000,0.000091
1949,0.000000,0.000092
1950,0.000001,0.000092
1951,0.000000,0.000107
1952,0.000000,0.000090
1953,0.000000,0.000076
1954,0.000000,0.000074
1955,0.000000,0.000081
1956,0.000001,0.000074
1957,0.000000,0.000065
1958,0.000000,0.000069
1959,0.000000,0.000077
1960,0.000001,0.000086
1961,0.000000,0.000096
1962,0.000000,0.000094
1963,0.000001,0.000104
1964,0.000000,0.000109
1965,0.000000,0.000125
1966,0.000000,0.000106
1967,0.000000,0.000111
1968,0.000002,0.000160
1969,0.000000,0.000204
1970,0.000002,0.000200
1971,0.000000,0.000181
1972,0.000000,0.000198
1973,0.000002,0.000196
1974,0.000002,0.000185
1975,0.000002,0.000230
1976,0.000002,0.000254
1977,0.000000,0.000230
1978,0.000004,0.000233
1979,0.000004,0.000256
1980,0.000005,0.000209
1981,0.000003,0.000238
1982,0.000005,0.000264
1983,0.000006,0.000272
1984,0.000003,0.000268
1985,0.000004,0.000313
1986,0.000008,0.000462
1987,0.000015,0.000624
1988,0.000018,0.000729
1989,0.000027,0.000813
1990,0.000035,0.000865
1991,0.000034,0.000914
1992,0.000034,0.000962
1993,0.000038,0.001031
1994,0.000037,0.001026
1995,0.000034,0.000988
1996,0.000031,0.000990
1997,0.000032,0.001039
1998,0.000044,0.001257
1999,0.000031,0.001136
2000,0.000026,0.001071
2001,0.000022,0.000997
2002,0.000024,0.000923
2003,0.000014,0.000765
2004,0.000018,0.000697
2005,0.000010,0.000602
2006,0.000011,0.000553
2007,0.000012,0.000592
2008,0.000013,0.000532
2009,0.000010,0.000443
2010,0.000015,0.000421
2011,0.000027,0.000434
2012,0.000040,0.000420
