year,Stephan
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,5
1896,0
1897,0
1898,6
1899,8
1900,0
1901,0
1902,0
1903,5
1904,0
1905,0
1906,5
1907,5
1908,6
1909,0
1910,13
1911,9
1912,20
1913,27
1914,32
1915,39
1916,35
1917,45
1918,37
1919,28
1920,26
1921,33
1922,24
1923,20
1924,12
1925,25
1926,21
1927,22
1928,18
1929,15
1930,18
1931,11
1932,25
1933,31
1934,17
1935,26
1936,23
1937,31
1938,44
1939,58
1940,67
1941,88
1942,139
1943,143
1944,137
1945,154
1946,208
1947,312
1948,309
1949,373
1950,413
1951,445
1952,454
1953,470
1954,524
1955,490
1956,479
1957,459
1958,384
1959,379
1960,416
1961,439
1962,530
1963,441
1964,447
1965,409
1966,400
1967,400
1968,392
1969,446
1970,423
1971,366
1972,372
1973,324
1974,327
1975,286
1976,284
1977,278
1978,297
1979,291
1980,302
1981,314
1982,347
1983,365
1984,409
1985,469
1986,484
1987,574
1988,540
1989,579
1990,574
1991,522
1992,513
1993,425
1994,478
1995,475
1996,371
1997,400
1998,310
1999,294
2000,242
2001,238
2002,228
2003,215
2004,205
2005,198
2006,193
2007,192
2008,161
2009,164
2010,160
2011,165
2012,141
