year,Saddie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,0
1889,0
1890,0
1891,0
1892,0
1893,9
1894,0
1895,0
1896,0
1897,0
1898,8
1899,5
1900,7
1901,0
1902,5
1903,11
1904,0
1905,0
1906,8
1907,0
1908,11
1909,6
1910,7
1911,8
1912,13
1913,7
1914,9
1915,14
1916,16
1917,20
1918,14
1919,10
1920,18
1921,12
1922,15
1923,15
1924,19
1925,13
1926,17
1927,17
1928,13
1929,13
1930,12
1931,8
1932,9
1933,15
1934,15
1935,10
1936,8
1937,10
1938,9
1939,11
1940,7
1941,8
1942,10
1943,8
1944,6
1945,5
1946,0
1947,6
1948,10
1949,5
1950,10
1951,9
1952,0
1953,12
1954,0
1955,0
1956,9
1957,0
1958,0
1959,0
1960,5
1961,0
1962,5
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,7
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,5
1991,0
1992,8
1993,9
1994,8
1995,0
1996,8
1997,0
1998,6
1999,11
2000,12
2001,7
2002,8
2003,5
2004,7
2005,9
2006,11
2007,6
2008,13
2009,9
2010,10
2011,8
2012,5
