year,Sigmund
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,0
1888,0
1889,0
1890,0
1891,5
1892,0
1893,0
1894,0
1895,5
1896,11
1897,5
1898,6
1899,0
1900,5
1901,5
1902,0
1903,0
1904,10
1905,18
1906,12
1907,12
1908,18
1909,19
1910,24
1911,34
1912,83
1913,78
1914,118
1915,139
1916,150
1917,149
1918,151
1919,118
1920,121
1921,96
1922,80
1923,59
1924,72
1925,41
1926,50
1927,37
1928,40
1929,27
1930,26
1931,28
1932,22
1933,20
1934,18
1935,28
1936,23
1937,19
1938,26
1939,20
1940,18
1941,28
1942,23
1943,22
1944,19
1945,15
1946,25
1947,23
1948,12
1949,22
1950,21
1951,15
1952,21
1953,13
1954,20
1955,20
1956,16
1957,15
1958,11
1959,8
1960,7
1961,9
1962,13
1963,14
1964,14
1965,7
1966,7
1967,8
1968,13
1969,12
1970,17
1971,26
1972,19
1973,15
1974,13
1975,7
1976,8
1977,12
1978,9
1979,9
1980,13
1981,5
1982,0
1983,5
1984,0
1985,0
1986,6
1987,0
1988,0
1989,0
1990,9
1991,5
1992,0
1993,0
1994,0
1995,5
1996,0
1997,5
1998,5
1999,8
2000,5
2001,5
2002,0
2003,0
2004,7
2005,0
2006,0
2007,5
2008,5
2009,0
2010,7
2011,6
2012,0
