year,Sena
1880,10
1881,11
1882,19
1883,18
1884,26
1885,18
1886,16
1887,18
1888,31
1889,15
1890,29
1891,20
1892,31
1893,24
1894,26
1895,22
1896,18
1897,13
1898,22
1899,13
1900,28
1901,21
1902,13
1903,16
1904,12
1905,18
1906,22
1907,13
1908,18
1909,13
1910,14
1911,11
1912,18
1913,10
1914,11
1915,16
1916,31
1917,21
1918,24
1919,20
1920,25
1921,28
1922,31
1923,25
1924,19
1925,19
1926,11
1927,12
1928,5
1929,14
1930,10
1931,10
1932,16
1933,12
1934,12
1935,15
1936,11
1937,15
1938,7
1939,13
1940,13
1941,7
1942,17
1943,9
1944,10
1945,10
1946,14
1947,18
1948,7
1949,14
1950,11
1951,7
1952,16
1953,13
1954,17
1955,12
1956,16
1957,13
1958,17
1959,12
1960,15
1961,21
1962,17
1963,19
1964,20
1965,18
1966,22
1967,20
1968,14
1969,17
1970,27
1971,23
1972,17
1973,17
1974,15
1975,25
1976,14
1977,22
1978,20
1979,21
1980,18
1981,25
1982,17
1983,22
1984,21
1985,27
1986,14
1987,16
1988,22
1989,16
1990,14
1991,19
1992,15
1993,15
1994,13
1995,21
1996,26
1997,21
1998,22
1999,22
2000,31
2001,29
2002,44
2003,28
2004,47
2005,36
2006,41
2007,32
2008,40
2009,45
2010,43
2011,55
2012,54
