year,Ephraim
1880,18
1881,15
1882,10
1883,14
1884,12
1885,11
1886,14
1887,10
1888,16
1889,7
1890,11
1891,6
1892,8
1893,9
1894,9
1895,10
1896,0
1897,9
1898,8
1899,6
1900,8
1901,0
1902,10
1903,0
1904,8
1905,0
1906,5
1907,7
1908,7
1909,8
1910,6
1911,13
1912,20
1913,26
1914,36
1915,40
1916,30
1917,38
1918,39
1919,27
1920,36
1921,42
1922,36
1923,45
1924,34
1925,36
1926,38
1927,26
1928,30
1929,25
1930,29
1931,19
1932,17
1933,27
1934,22
1935,15
1936,15
1937,10
1938,8
1939,24
1940,15
1941,10
1942,22
1943,20
1944,17
1945,15
1946,19
1947,18
1948,18
1949,23
1950,18
1951,29
1952,23
1953,14
1954,19
1955,24
1956,34
1957,28
1958,20
1959,19
1960,34
1961,27
1962,25
1963,28
1964,20
1965,27
1966,16
1967,30
1968,30
1969,21
1970,39
1971,39
1972,40
1973,37
1974,54
1975,41
1976,53
1977,57
1978,32
1979,47
1980,52
1981,49
1982,65
1983,55
1984,55
1985,61
1986,60
1987,69
1988,60
1989,73
1990,58
1991,61
1992,58
1993,56
1994,71
1995,56
1996,67
1997,65
1998,66
1999,65
2000,93
2001,69
2002,86
2003,113
2004,141
2005,143
2006,150
2007,150
2008,179
2009,184
2010,180
2011,173
2012,197
