year,Earline
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,0
1892,0
1893,0
1894,0
1895,9
1896,8
1897,6
1898,21
1899,18
1900,18
1901,8
1902,16
1903,18
1904,26
1905,40
1906,27
1907,47
1908,43
1909,47
1910,93
1911,56
1912,87
1913,120
1914,157
1915,159
1916,221
1917,231
1918,260
1919,310
1920,332
1921,331
1922,347
1923,373
1924,427
1925,454
1926,460
1927,479
1928,465
1929,432
1930,451
1931,366
1932,463
1933,421
1934,425
1935,410
1936,379
1937,345
1938,353
1939,325
1940,359
1941,370
1942,293
1943,342
1944,325
1945,328
1946,317
1947,309
1948,296
1949,284
1950,243
1951,270
1952,256
1953,201
1954,152
1955,201
1956,161
1957,135
1958,154
1959,140
1960,125
1961,121
1962,116
1963,106
1964,101
1965,85
1966,72
1967,75
1968,52
1969,53
1970,55
1971,41
1972,40
1973,29
1974,27
1975,19
1976,21
1977,19
1978,17
1979,15
1980,13
1981,19
1982,19
1983,18
1984,11
1985,9
1986,13
1987,10
1988,14
1989,6
1990,7
1991,11
1992,5
1993,7
1994,0
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
