year,Ebbie
1880,0
1881,5
1882,7
1883,0
1884,5
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,0
1892,7
1893,0
1894,5
1895,6
1896,0
1897,5
1898,0
1899,0
1900,12
1901,0
1902,8
1903,5
1904,0
1905,9
1906,0
1907,6
1908,0
1909,6
1910,5
1911,5
1912,5
1913,0
1914,12
1915,17
1916,17
1917,21
1918,22
1919,11
1920,23
1921,17
1922,16
1923,13
1924,13
1925,17
1926,10
1927,15
1928,0
1929,15
1930,17
1931,11
1932,6
1933,0
1934,8
1935,5
1936,10
1937,16
1938,12
1939,5
1940,12
1941,14
1942,8
1943,15
1944,7
1945,5
1946,7
1947,8
1948,6
1949,6
1950,14
1951,7
1952,5
1953,9
1954,17
1955,12
1956,5
1957,0
1958,12
1959,5
1960,0
1961,5
1962,5
1963,12
1964,0
1965,6
1966,0
1967,0
1968,0
1969,5
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,6
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
