year,Eudora
1880,6
1881,0
1882,5
1883,5
1884,7
1885,8
1886,5
1887,5
1888,16
1889,7
1890,9
1891,18
1892,6
1893,13
1894,12
1895,7
1896,13
1897,11
1898,14
1899,12
1900,13
1901,10
1902,14
1903,19
1904,11
1905,14
1906,18
1907,15
1908,11
1909,16
1910,12
1911,21
1912,26
1913,37
1914,38
1915,46
1916,42
1917,43
1918,57
1919,55
1920,61
1921,67
1922,65
1923,71
1924,60
1925,51
1926,50
1927,35
1928,41
1929,34
1930,38
1931,27
1932,33
1933,29
1934,25
1935,24
1936,23
1937,14
1938,23
1939,27
1940,18
1941,10
1942,9
1943,16
1944,19
1945,9
1946,15
1947,16
1948,14
1949,13
1950,18
1951,9
1952,6
1953,19
1954,9
1955,14
1956,11
1957,10
1958,9
1959,9
1960,10
1961,12
1962,7
1963,11
1964,6
1965,13
1966,7
1967,8
1968,5
1969,11
1970,15
1971,6
1972,7
1973,6
1974,10
1975,0
1976,0
1977,0
1978,5
1979,7
1980,0
1981,8
1982,5
1983,6
1984,0
1985,0
1986,8
1987,8
1988,5
1989,5
1990,7
1991,6
1992,6
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,5
2000,0
2001,7
2002,7
2003,0
2004,0
2005,5
2006,9
2007,0
2008,0
2009,0
2010,5
2011,7
2012,7
