year,Earlene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,10
1906,8
1907,11
1908,8
1909,9
1910,16
1911,25
1912,35
1913,23
1914,52
1915,71
1916,82
1917,92
1918,114
1919,103
1920,136
1921,155
1922,172
1923,181
1924,212
1925,221
1926,224
1927,263
1928,285
1929,294
1930,282
1931,302
1932,284
1933,327
1934,349
1935,334
1936,334
1937,332
1938,387
1939,336
1940,362
1941,352
1942,383
1943,399
1944,355
1945,342
1946,349
1947,407
1948,396
1949,344
1950,336
1951,341
1952,265
1953,313
1954,274
1955,265
1956,237
1957,217
1958,189
1959,178
1960,184
1961,137
1962,142
1963,134
1964,115
1965,106
1966,106
1967,73
1968,62
1969,84
1970,59
1971,54
1972,40
1973,38
1974,43
1975,30
1976,30
1977,23
1978,27
1979,18
1980,17
1981,24
1982,22
1983,24
1984,23
1985,15
1986,14
1987,23
1988,11
1989,23
1990,10
1991,11
1992,9
1993,8
1994,6
1995,13
1996,5
1997,9
1998,6
1999,6
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
