year,Ezell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,6
1898,0
1899,6
1900,7
1901,0
1902,6
1903,7
1904,6
1905,9
1906,0
1907,12
1908,11
1909,12
1910,15
1911,24
1912,24
1913,30
1914,44
1915,44
1916,55
1917,50
1918,58
1919,66
1920,62
1921,50
1922,71
1923,58
1924,54
1925,69
1926,56
1927,64
1928,66
1929,67
1930,65
1931,60
1932,62
1933,62
1934,41
1935,39
1936,52
1937,47
1938,59
1939,43
1940,48
1941,46
1942,62
1943,62
1944,56
1945,45
1946,45
1947,63
1948,60
1949,54
1950,50
1951,62
1952,69
1953,66
1954,54
1955,52
1956,31
1957,34
1958,47
1959,33
1960,34
1961,39
1962,25
1963,33
1964,24
1965,25
1966,36
1967,31
1968,21
1969,28
1970,23
1971,30
1972,32
1973,24
1974,16
1975,25
1976,24
1977,29
1978,15
1979,20
1980,18
1981,15
1982,13
1983,10
1984,14
1985,10
1986,15
1987,14
1988,13
1989,17
1990,16
1991,16
1992,19
1993,22
1994,22
1995,0
1996,18
1997,11
1998,13
1999,10
2000,10
2001,10
2002,13
2003,7
2004,9
2005,6
2006,9
2007,11
2008,0
2009,6
2010,5
2011,7
2012,7
