year,Eveline
1880,0
1881,10
1882,8
1883,5
1884,9
1885,7
1886,5
1887,0
1888,7
1889,8
1890,16
1891,11
1892,11
1893,11
1894,9
1895,16
1896,10
1897,7
1898,10
1899,10
1900,15
1901,14
1902,14
1903,9
1904,16
1905,14
1906,8
1907,19
1908,18
1909,19
1910,30
1911,22
1912,29
1913,37
1914,43
1915,58
1916,54
1917,69
1918,61
1919,39
1920,55
1921,71
1922,76
1923,70
1924,62
1925,48
1926,71
1927,51
1928,48
1929,46
1930,42
1931,31
1932,36
1933,46
1934,36
1935,35
1936,29
1937,45
1938,45
1939,23
1940,33
1941,25
1942,23
1943,19
1944,18
1945,21
1946,24
1947,14
1948,21
1949,17
1950,21
1951,22
1952,27
1953,18
1954,23
1955,16
1956,15
1957,26
1958,11
1959,15
1960,13
1961,13
1962,19
1963,9
1964,15
1965,13
1966,13
1967,14
1968,14
1969,10
1970,13
1971,11
1972,8
1973,6
1974,0
1975,10
1976,0
1977,12
1978,8
1979,9
1980,7
1981,9
1982,11
1983,8
1984,16
1985,9
1986,10
1987,7
1988,11
1989,8
1990,11
1991,14
1992,5
1993,16
1994,6
1995,14
1996,12
1997,17
1998,17
1999,18
2000,14
2001,22
2002,31
2003,15
2004,33
2005,27
2006,23
2007,29
2008,30
2009,28
2010,21
2011,31
2012,17
