year,Electra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,0
1912,6
1913,6
1914,0
1915,11
1916,10
1917,12
1918,6
1919,5
1920,7
1921,12
1922,11
1923,7
1924,6
1925,7
1926,10
1927,10
1928,5
1929,9
1930,7
1931,7
1932,10
1933,10
1934,5
1935,5
1936,5
1937,0
1938,7
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,7
1949,6
1950,0
1951,6
1952,5
1953,5
1954,8
1955,6
1956,5
1957,7
1958,6
1959,9
1960,8
1961,7
1962,9
1963,7
1964,11
1965,8
1966,0
1967,16
1968,0
1969,5
1970,12
1971,14
1972,6
1973,11
1974,11
1975,0
1976,13
1977,9
1978,7
1979,10
1980,12
1981,7
1982,0
1983,9
1984,14
1985,6
1986,9
1987,18
1988,12
1989,7
1990,17
1991,6
1992,9
1993,8
1994,11
1995,11
1996,8
1997,20
1998,23
1999,22
2000,16
2001,25
2002,27
2003,23
2004,29
2005,31
2006,34
2007,25
2008,17
2009,22
2010,18
2011,15
2012,15
