year,Elvin
1880,10
1881,20
1882,15
1883,15
1884,14
1885,12
1886,15
1887,9
1888,15
1889,21
1890,10
1891,14
1892,24
1893,20
1894,18
1895,25
1896,21
1897,18
1898,19
1899,21
1900,24
1901,25
1902,29
1903,22
1904,29
1905,27
1906,33
1907,40
1908,42
1909,55
1910,54
1911,83
1912,128
1913,138
1914,201
1915,312
1916,271
1917,305
1918,324
1919,325
1920,343
1921,352
1922,353
1923,316
1924,334
1925,357
1926,359
1927,399
1928,330
1929,306
1930,346
1931,302
1932,260
1933,252
1934,273
1935,247
1936,228
1937,238
1938,208
1939,231
1940,207
1941,197
1942,224
1943,225
1944,208
1945,176
1946,208
1947,216
1948,193
1949,175
1950,181
1951,172
1952,178
1953,183
1954,179
1955,171
1956,188
1957,181
1958,204
1959,191
1960,178
1961,190
1962,145
1963,160
1964,155
1965,122
1966,123
1967,126
1968,106
1969,140
1970,131
1971,125
1972,127
1973,96
1974,98
1975,115
1976,123
1977,119
1978,133
1979,136
1980,113
1981,111
1982,106
1983,103
1984,106
1985,121
1986,101
1987,96
1988,122
1989,115
1990,122
1991,111
1992,132
1993,121
1994,104
1995,110
1996,86
1997,110
1998,109
1999,149
2000,131
2001,136
2002,141
2003,161
2004,175
2005,182
2006,169
2007,213
2008,184
2009,154
2010,137
2011,143
2012,144
