year,Eugenio
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,9
1897,0
1898,0
1899,7
1900,6
1901,0
1902,0
1903,0
1904,0
1905,0
1906,6
1907,10
1908,0
1909,10
1910,9
1911,8
1912,9
1913,13
1914,28
1915,29
1916,32
1917,28
1918,31
1919,31
1920,30
1921,19
1922,30
1923,28
1924,40
1925,34
1926,33
1927,36
1928,34
1929,29
1930,41
1931,21
1932,29
1933,20
1934,31
1935,29
1936,21
1937,24
1938,27
1939,19
1940,6
1941,15
1942,30
1943,30
1944,25
1945,32
1946,33
1947,32
1948,34
1949,33
1950,35
1951,44
1952,33
1953,37
1954,32
1955,41
1956,43
1957,36
1958,47
1959,58
1960,58
1961,46
1962,54
1963,56
1964,50
1965,44
1966,46
1967,57
1968,62
1969,62
1970,55
1971,73
1972,51
1973,61
1974,72
1975,47
1976,62
1977,70
1978,59
1979,51
1980,55
1981,45
1982,82
1983,57
1984,49
1985,51
1986,60
1987,53
1988,57
1989,59
1990,48
1991,59
1992,58
1993,66
1994,68
1995,52
1996,59
1997,48
1998,54
1999,51
2000,52
2001,48
2002,51
2003,61
2004,64
2005,58
2006,54
2007,50
2008,49
2009,52
2010,43
2011,35
2012,39
