year,Emerson
1880,25
1881,20
1882,15
1883,20
1884,15
1885,17
1886,17
1887,16
1888,18
1889,22
1890,13
1891,21
1892,19
1893,20
1894,23
1895,21
1896,20
1897,13
1898,25
1899,19
1900,34
1901,25
1902,28
1903,26
1904,30
1905,36
1906,28
1907,41
1908,32
1909,41
1910,52
1911,59
1912,142
1913,114
1914,164
1915,229
1916,225
1917,229
1918,273
1919,264
1920,259
1921,237
1922,254
1923,222
1924,249
1925,230
1926,187
1927,186
1928,188
1929,127
1930,171
1931,124
1932,140
1933,122
1934,130
1935,110
1936,108
1937,116
1938,120
1939,96
1940,125
1941,114
1942,116
1943,115
1944,103
1945,82
1946,97
1947,116
1948,109
1949,116
1950,102
1951,113
1952,86
1953,100
1954,117
1955,79
1956,87
1957,93
1958,80
1959,86
1960,90
1961,74
1962,89
1963,89
1964,88
1965,75
1966,67
1967,68
1968,64
1969,57
1970,71
1971,63
1972,66
1973,65
1974,56
1975,66
1976,78
1977,68
1978,74
1979,74
1980,67
1981,72
1982,75
1983,75
1984,89
1985,87
1986,100
1987,86
1988,95
1989,111
1990,130
1991,106
1992,119
1993,140
1994,125
1995,155
1996,143
1997,139
1998,313
1999,311
2000,306
2001,407
2002,503
2003,589
2004,534
2005,1070
2006,1537
2007,1616
2008,1746
2009,1654
2010,1644
2011,1885
2012,2142
