year,Evalina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,0
1888,0
1889,0
1890,0
1891,6
1892,7
1893,7
1894,0
1895,6
1896,0
1897,0
1898,0
1899,5
1900,6
1901,0
1902,0
1903,5
1904,0
1905,7
1906,8
1907,9
1908,0
1909,0
1910,6
1911,0
1912,0
1913,0
1914,13
1915,14
1916,12
1917,9
1918,14
1919,16
1920,0
1921,9
1922,8
1923,9
1924,7
1925,11
1926,12
1927,11
1928,12
1929,5
1930,8
1931,9
1932,11
1933,6
1934,5
1935,5
1936,11
1937,7
1938,16
1939,12
1940,6
1941,15
1942,8
1943,6
1944,6
1945,11
1946,11
1947,0
1948,0
1949,6
1950,10
1951,0
1952,12
1953,0
1954,7
1955,0
1956,12
1957,16
1958,6
1959,0
1960,7
1961,7
1962,5
1963,9
1964,0
1965,10
1966,13
1967,0
1968,0
1969,0
1970,7
1971,0
1972,0
1973,6
1974,0
1975,0
1976,0
1977,6
1978,0
1979,0
1980,0
1981,5
1982,12
1983,5
1984,6
1985,5
1986,0
1987,0
1988,5
1989,6
1990,12
1991,7
1992,0
1993,6
1994,0
1995,7
1996,5
1997,8
1998,10
1999,9
2000,12
2001,12
2002,11
2003,10
2004,23
2005,24
2006,24
2007,24
2008,34
2009,42
2010,53
2011,67
2012,42
