year,Elin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,9
1894,5
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,6
1905,0
1906,0
1907,6
1908,6
1909,7
1910,5
1911,6
1912,6
1913,8
1914,13
1915,7
1916,14
1917,10
1918,9
1919,9
1920,7
1921,12
1922,9
1923,8
1924,6
1925,9
1926,8
1927,8
1928,8
1929,10
1930,10
1931,0
1932,8
1933,7
1934,6
1935,6
1936,11
1937,6
1938,13
1939,10
1940,12
1941,14
1942,16
1943,21
1944,15
1945,17
1946,15
1947,21
1948,23
1949,10
1950,18
1951,19
1952,14
1953,12
1954,14
1955,12
1956,12
1957,9
1958,13
1959,14
1960,12
1961,12
1962,18
1963,6
1964,17
1965,12
1966,6
1967,8
1968,7
1969,9
1970,14
1971,0
1972,14
1973,7
1974,14
1975,11
1976,14
1977,10
1978,12
1979,15
1980,16
1981,11
1982,23
1983,10
1984,17
1985,16
1986,15
1987,16
1988,11
1989,10
1990,22
1991,16
1992,18
1993,16
1994,17
1995,15
1996,13
1997,10
1998,11
1999,9
2000,18
2001,15
2002,22
2003,22
2004,45
2005,39
2006,50
2007,58
2008,70
2009,61
2010,402
2011,428
2012,344
