year,Estela
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,11
1904,0
1905,6
1906,6
1907,5
1908,0
1909,0
1910,6
1911,11
1912,8
1913,16
1914,13
1915,24
1916,15
1917,37
1918,34
1919,31
1920,40
1921,51
1922,37
1923,47
1924,40
1925,66
1926,64
1927,72
1928,73
1929,78
1930,68
1931,70
1932,82
1933,59
1934,80
1935,50
1936,67
1937,55
1938,60
1939,70
1940,48
1941,53
1942,54
1943,62
1944,78
1945,62
1946,86
1947,62
1948,92
1949,123
1950,108
1951,94
1952,121
1953,94
1954,101
1955,116
1956,82
1957,95
1958,99
1959,97
1960,74
1961,74
1962,79
1963,81
1964,91
1965,90
1966,63
1967,90
1968,81
1969,79
1970,77
1971,89
1972,93
1973,92
1974,102
1975,81
1976,106
1977,95
1978,80
1979,114
1980,100
1981,105
1982,94
1983,82
1984,79
1985,78
1986,80
1987,83
1988,80
1989,85
1990,119
1991,96
1992,92
1993,92
1994,80
1995,86
1996,97
1997,99
1998,89
1999,88
2000,98
2001,89
2002,82
2003,89
2004,82
2005,74
2006,73
2007,85
2008,84
2009,81
2010,75
2011,87
2012,88
