year,Ellwood
1880,0
1881,0
1882,5
1883,0
1884,7
1885,0
1886,0
1887,6
1888,5
1889,0
1890,5
1891,0
1892,5
1893,0
1894,0
1895,9
1896,7
1897,10
1898,11
1899,0
1900,5
1901,12
1902,0
1903,7
1904,10
1905,0
1906,11
1907,13
1908,13
1909,7
1910,13
1911,14
1912,34
1913,34
1914,41
1915,55
1916,73
1917,69
1918,82
1919,67
1920,80
1921,62
1922,60
1923,67
1924,77
1925,52
1926,59
1927,63
1928,43
1929,49
1930,39
1931,27
1932,38
1933,32
1934,28
1935,24
1936,21
1937,28
1938,21
1939,23
1940,21
1941,13
1942,31
1943,17
1944,39
1945,13
1946,34
1947,25
1948,23
1949,15
1950,14
1951,17
1952,17
1953,14
1954,15
1955,11
1956,13
1957,14
1958,18
1959,0
1960,10
1961,0
1962,9
1963,7
1964,9
1965,0
1966,6
1967,6
1968,0
1969,6
1970,5
1971,0
1972,5
1973,0
1974,7
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,5
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
