year,Elise
1880,24
1881,22
1882,29
1883,26
1884,28
1885,25
1886,32
1887,32
1888,33
1889,42
1890,33
1891,44
1892,40
1893,51
1894,43
1895,50
1896,46
1897,50
1898,60
1899,48
1900,76
1901,47
1902,51
1903,53
1904,59
1905,54
1906,55
1907,67
1908,70
1909,63
1910,62
1911,77
1912,143
1913,144
1914,157
1915,186
1916,198
1917,215
1918,209
1919,234
1920,208
1921,216
1922,202
1923,205
1924,199
1925,154
1926,164
1927,157
1928,148
1929,170
1930,137
1931,147
1932,129
1933,121
1934,96
1935,139
1936,116
1937,119
1938,107
1939,118
1940,116
1941,123
1942,106
1943,125
1944,134
1945,113
1946,132
1947,185
1948,166
1949,169
1950,187
1951,292
1952,304
1953,353
1954,404
1955,407
1956,395
1957,356
1958,391
1959,424
1960,373
1961,403
1962,368
1963,374
1964,426
1965,375
1966,363
1967,337
1968,342
1969,328
1970,333
1971,308
1972,257
1973,292
1974,220
1975,230
1976,246
1977,255
1978,284
1979,295
1980,330
1981,388
1982,436
1983,555
1984,758
1985,941
1986,1042
1987,1144
1988,1102
1989,1074
1990,1071
1991,970
1992,939
1993,977
1994,802
1995,788
1996,934
1997,1045
1998,1026
1999,1157
2000,1278
2001,1336
2002,1335
2003,1419
2004,1510
2005,1494
2006,1565
2007,1557
2008,1549
2009,1526
2010,1585
2011,1928
2012,2119
