year,Early
1880,11
1881,12
1882,10
1883,15
1884,14
1885,15
1886,17
1887,15
1888,18
1889,20
1890,23
1891,24
1892,16
1893,14
1894,22
1895,24
1896,25
1897,33
1898,26
1899,25
1900,29
1901,21
1902,22
1903,23
1904,29
1905,18
1906,21
1907,37
1908,23
1909,33
1910,39
1911,30
1912,37
1913,50
1914,62
1915,71
1916,65
1917,91
1918,86
1919,98
1920,85
1921,99
1922,89
1923,85
1924,92
1925,82
1926,91
1927,95
1928,76
1929,82
1930,65
1931,51
1932,57
1933,59
1934,64
1935,49
1936,61
1937,63
1938,60
1939,49
1940,54
1941,48
1942,63
1943,65
1944,68
1945,49
1946,44
1947,57
1948,64
1949,66
1950,52
1951,54
1952,57
1953,53
1954,50
1955,49
1956,26
1957,45
1958,39
1959,36
1960,31
1961,31
1962,34
1963,25
1964,12
1965,22
1966,23
1967,17
1968,17
1969,8
1970,26
1971,14
1972,12
1973,14
1974,21
1975,7
1976,11
1977,16
1978,14
1979,12
1980,6
1981,14
1982,12
1983,7
1984,5
1985,13
1986,9
1987,8
1988,8
1989,8
1990,13
1991,11
1992,8
1993,0
1994,0
1995,7
1996,5
1997,0
1998,0
1999,0
2000,11
2001,0
2002,5
2003,5
2004,5
2005,0
2006,0
2007,6
2008,5
2009,7
2010,0
2011,0
2012,0
