year,Elmira
1880,13
1881,17
1882,17
1883,22
1884,21
1885,15
1886,18
1887,31
1888,19
1889,38
1890,31
1891,20
1892,31
1893,33
1894,20
1895,40
1896,38
1897,29
1898,37
1899,29
1900,33
1901,34
1902,42
1903,39
1904,31
1905,40
1906,34
1907,47
1908,54
1909,35
1910,47
1911,33
1912,71
1913,74
1914,80
1915,102
1916,104
1917,105
1918,108
1919,95
1920,97
1921,122
1922,94
1923,93
1924,81
1925,87
1926,86
1927,72
1928,92
1929,79
1930,67
1931,59
1932,52
1933,47
1934,57
1935,54
1936,43
1937,54
1938,49
1939,38
1940,49
1941,45
1942,40
1943,42
1944,42
1945,36
1946,27
1947,34
1948,34
1949,41
1950,33
1951,48
1952,31
1953,35
1954,36
1955,29
1956,23
1957,30
1958,32
1959,35
1960,31
1961,26
1962,32
1963,15
1964,17
1965,11
1966,13
1967,11
1968,17
1969,7
1970,11
1971,14
1972,13
1973,11
1974,5
1975,0
1976,10
1977,8
1978,8
1979,7
1980,0
1981,7
1982,9
1983,0
1984,0
1985,0
1986,0
1987,9
1988,0
1989,7
1990,8
1991,0
1992,0
1993,5
1994,0
1995,0
1996,5
1997,0
1998,0
1999,8
2000,0
2001,0
2002,5
2003,0
2004,0
2005,0
2006,0
2007,8
2008,0
2009,6
2010,8
2011,8
2012,7
