year,Eliseo
1880,5
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,7
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,7
1911,6
1912,12
1913,10
1914,10
1915,7
1916,11
1917,27
1918,18
1919,23
1920,29
1921,28
1922,33
1923,38
1924,32
1925,43
1926,41
1927,43
1928,55
1929,60
1930,34
1931,27
1932,44
1933,39
1934,47
1935,44
1936,36
1937,43
1938,35
1939,43
1940,34
1941,45
1942,47
1943,47
1944,34
1945,51
1946,41
1947,51
1948,49
1949,63
1950,46
1951,54
1952,49
1953,46
1954,47
1955,67
1956,53
1957,46
1958,59
1959,43
1960,50
1961,59
1962,59
1963,49
1964,59
1965,48
1966,58
1967,58
1968,43
1969,61
1970,55
1971,65
1972,56
1973,72
1974,66
1975,88
1976,69
1977,105
1978,82
1979,96
1980,101
1981,112
1982,102
1983,80
1984,86
1985,92
1986,87
1987,91
1988,92
1989,123
1990,116
1991,120
1992,136
1993,140
1994,138
1995,154
1996,145
1997,154
1998,131
1999,145
2000,164
2001,188
2002,171
2003,149
2004,160
2005,173
2006,182
2007,205
2008,177
2009,187
2010,189
2011,203
2012,216
