year,Elsa
1880,20
1881,25
1882,29
1883,35
1884,51
1885,66
1886,59
1887,61
1888,87
1889,104
1890,106
1891,102
1892,142
1893,104
1894,137
1895,160
1896,129
1897,128
1898,111
1899,90
1900,102
1901,94
1902,91
1903,87
1904,75
1905,75
1906,84
1907,86
1908,93
1909,77
1910,80
1911,103
1912,120
1913,131
1914,166
1915,237
1916,201
1917,198
1918,173
1919,169
1920,184
1921,154
1922,149
1923,138
1924,145
1925,141
1926,136
1927,138
1928,158
1929,128
1930,136
1931,141
1932,130
1933,124
1934,110
1935,113
1936,130
1937,129
1938,125
1939,151
1940,122
1941,142
1942,136
1943,139
1944,120
1945,126
1946,113
1947,134
1948,139
1949,135
1950,154
1951,178
1952,217
1953,207
1954,246
1955,289
1956,310
1957,339
1958,288
1959,285
1960,280
1961,284
1962,277
1963,285
1964,282
1965,273
1966,294
1967,244
1968,244
1969,280
1970,298
1971,281
1972,262
1973,258
1974,255
1975,255
1976,273
1977,245
1978,226
1979,209
1980,243
1981,241
1982,206
1983,235
1984,216
1985,192
1986,198
1987,171
1988,170
1989,208
1990,242
1991,220
1992,229
1993,197
1994,227
1995,222
1996,228
1997,196
1998,200
1999,236
2000,240
2001,246
2002,283
2003,349
2004,308
2005,350
2006,348
2007,392
2008,411
2009,424
2010,487
2011,499
2012,540
