year,Elvera
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,6
1888,0
1889,0
1890,7
1891,7
1892,5
1893,10
1894,9
1895,15
1896,9
1897,16
1898,20
1899,13
1900,30
1901,26
1902,33
1903,27
1904,31
1905,21
1906,34
1907,42
1908,36
1909,46
1910,54
1911,52
1912,101
1913,105
1914,115
1915,186
1916,200
1917,198
1918,204
1919,217
1920,212
1921,219
1922,202
1923,193
1924,166
1925,174
1926,181
1927,145
1928,132
1929,124
1930,109
1931,105
1932,107
1933,81
1934,74
1935,70
1936,54
1937,58
1938,55
1939,67
1940,49
1941,41
1942,57
1943,49
1944,28
1945,31
1946,36
1947,36
1948,23
1949,25
1950,31
1951,30
1952,27
1953,20
1954,32
1955,24
1956,16
1957,20
1958,16
1959,13
1960,12
1961,12
1962,17
1963,11
1964,16
1965,7
1966,11
1967,13
1968,11
1969,0
1970,5
1971,5
1972,0
1973,0
1974,5
1975,10
1976,7
1977,0
1978,0
1979,7
1980,5
1981,0
1982,0
1983,0
1984,0
1985,7
1986,0
1987,0
1988,0
1989,5
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,5
2004,0
2005,0
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,5
