year,Ela
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,7
1889,7
1890,0
1891,6
1892,5
1893,5
1894,0
1895,0
1896,7
1897,9
1898,13
1899,5
1900,7
1901,6
1902,9
1903,14
1904,6
1905,6
1906,7
1907,0
1908,0
1909,7
1910,0
1911,7
1912,6
1913,0
1914,12
1915,9
1916,13
1917,9
1918,8
1919,12
1920,13
1921,9
1922,6
1923,11
1924,5
1925,9
1926,6
1927,8
1928,11
1929,10
1930,11
1931,7
1932,7
1933,0
1934,0
1935,7
1936,7
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,6
1959,0
1960,5
1961,0
1962,8
1963,0
1964,0
1965,0
1966,0
1967,5
1968,0
1969,0
1970,0
1971,0
1972,5
1973,0
1974,0
1975,5
1976,0
1977,6
1978,0
1979,0
1980,0
1981,0
1982,0
1983,5
1984,5
1985,0
1986,0
1987,7
1988,7
1989,0
1990,8
1991,8
1992,8
1993,7
1994,0
1995,6
1996,10
1997,6
1998,11
1999,12
2000,13
2001,18
2002,13
2003,43
2004,44
2005,78
2006,68
2007,72
2008,69
2009,100
2010,117
2011,116
2012,117
