year,Easter
1880,12
1881,11
1882,12
1883,21
1884,16
1885,19
1886,15
1887,16
1888,24
1889,8
1890,27
1891,22
1892,34
1893,25
1894,26
1895,30
1896,39
1897,32
1898,27
1899,33
1900,48
1901,40
1902,26
1903,38
1904,34
1905,44
1906,37
1907,54
1908,40
1909,51
1910,67
1911,54
1912,75
1913,73
1914,98
1915,94
1916,102
1917,99
1918,125
1919,129
1920,128
1921,111
1922,130
1923,96
1924,118
1925,133
1926,130
1927,110
1928,114
1929,106
1930,106
1931,77
1932,93
1933,81
1934,86
1935,67
1936,90
1937,69
1938,82
1939,85
1940,79
1941,67
1942,77
1943,51
1944,47
1945,56
1946,52
1947,62
1948,54
1949,73
1950,66
1951,56
1952,49
1953,50
1954,55
1955,58
1956,41
1957,61
1958,45
1959,41
1960,45
1961,41
1962,24
1963,25
1964,34
1965,32
1966,27
1967,25
1968,22
1969,11
1970,15
1971,15
1972,20
1973,15
1974,12
1975,11
1976,9
1977,23
1978,15
1979,17
1980,9
1981,13
1982,9
1983,6
1984,15
1985,16
1986,9
1987,10
1988,6
1989,13
1990,9
1991,9
1992,7
1993,8
1994,10
1995,0
1996,6
1997,5
1998,7
1999,0
2000,7
2001,0
2002,0
2003,5
2004,5
2005,0
2006,5
2007,7
2008,0
2009,0
2010,6
2011,0
2012,0
