year,Ellyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,6
1899,0
1900,0
1901,0
1902,0
1903,7
1904,0
1905,0
1906,0
1907,0
1908,5
1909,0
1910,0
1911,7
1912,0
1913,0
1914,11
1915,16
1916,13
1917,12
1918,19
1919,10
1920,9
1921,13
1922,11
1923,0
1924,16
1925,13
1926,11
1927,19
1928,9
1929,20
1930,14
1931,11
1932,18
1933,17
1934,17
1935,15
1936,15
1937,19
1938,22
1939,33
1940,23
1941,31
1942,42
1943,47
1944,43
1945,43
1946,61
1947,75
1948,65
1949,76
1950,77
1951,75
1952,90
1953,76
1954,75
1955,73
1956,75
1957,67
1958,69
1959,68
1960,82
1961,59
1962,55
1963,45
1964,55
1965,44
1966,50
1967,30
1968,36
1969,34
1970,27
1971,26
1972,24
1973,18
1974,20
1975,27
1976,24
1977,26
1978,33
1979,23
1980,26
1981,21
1982,35
1983,23
1984,18
1985,24
1986,22
1987,28
1988,67
1989,75
1990,79
1991,102
1992,94
1993,74
1994,60
1995,54
1996,47
1997,27
1998,19
1999,25
2000,16
2001,17
2002,31
2003,37
2004,33
2005,17
2006,16
2007,29
2008,22
2009,18
2010,20
2011,16
2012,29
