year,Eleanora
1880,6
1881,7
1882,11
1883,9
1884,14
1885,19
1886,14
1887,13
1888,17
1889,23
1890,20
1891,18
1892,27
1893,31
1894,30
1895,24
1896,33
1897,33
1898,34
1899,30
1900,41
1901,23
1902,38
1903,34
1904,41
1905,42
1906,39
1907,29
1908,47
1909,47
1910,53
1911,58
1912,55
1913,87
1914,126
1915,153
1916,174
1917,127
1918,170
1919,153
1920,148
1921,164
1922,136
1923,128
1924,153
1925,128
1926,127
1927,118
1928,110
1929,101
1930,105
1931,78
1932,76
1933,71
1934,68
1935,66
1936,60
1937,57
1938,58
1939,53
1940,29
1941,46
1942,48
1943,41
1944,23
1945,35
1946,32
1947,37
1948,23
1949,39
1950,33
1951,29
1952,32
1953,31
1954,20
1955,18
1956,28
1957,26
1958,23
1959,21
1960,19
1961,24
1962,19
1963,20
1964,13
1965,13
1966,5
1967,12
1968,9
1969,8
1970,14
1971,7
1972,6
1973,9
1974,7
1975,0
1976,5
1977,7
1978,8
1979,0
1980,11
1981,0
1982,6
1983,7
1984,6
1985,5
1986,0
1987,5
1988,10
1989,7
1990,8
1991,7
1992,8
1993,7
1994,8
1995,6
1996,10
1997,6
1998,12
1999,10
2000,10
2001,14
2002,15
2003,16
2004,26
2005,30
2006,29
2007,36
2008,41
2009,31
2010,57
2011,73
2012,68
