year,Edris
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,6
1900,0
1901,0
1902,0
1903,5
1904,16
1905,8
1906,9
1907,5
1908,0
1909,5
1910,5
1911,10
1912,10
1913,14
1914,13
1915,24
1916,16
1917,11
1918,16
1919,16
1920,17
1921,15
1922,17
1923,23
1924,23
1925,14
1926,20
1927,19
1928,12
1929,11
1930,15
1931,17
1932,11
1933,20
1934,15
1935,11
1936,8
1937,10
1938,11
1939,5
1940,13
1941,14
1942,13
1943,9
1944,7
1945,8
1946,14
1947,12
1948,13
1949,7
1950,9
1951,7
1952,6
1953,7
1954,6
1955,0
1956,10
1957,0
1958,0
1959,6
1960,5
1961,13
1962,0
1963,7
1964,6
1965,6
1966,8
1967,0
1968,0
1969,5
1970,9
1971,5
1972,0
1973,6
1974,0
1975,0
1976,0
1977,0
1978,6
1979,0
1980,0
1981,0
1982,7
1983,0
1984,6
1985,0
1986,0
1987,6
1988,0
1989,0
1990,5
1991,7
1992,0
1993,8
1994,8
1995,0
1996,6
1997,8
1998,6
1999,0
2000,7
2001,6
2002,5
2003,6
2004,8
2005,8
2006,0
2007,12
2008,5
2009,11
2010,14
2011,7
2012,8
