year,Elia
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,0
1887,7
1888,8
1889,7
1890,6
1891,7
1892,6
1893,6
1894,0
1895,8
1896,10
1897,12
1898,0
1899,6
1900,10
1901,0
1902,12
1903,5
1904,6
1905,6
1906,7
1907,5
1908,6
1909,10
1910,14
1911,11
1912,9
1913,11
1914,11
1915,33
1916,19
1917,27
1918,24
1919,29
1920,45
1921,28
1922,33
1923,40
1924,38
1925,46
1926,40
1927,42
1928,35
1929,41
1930,48
1931,31
1932,43
1933,45
1934,44
1935,50
1936,38
1937,41
1938,41
1939,39
1940,30
1941,41
1942,44
1943,36
1944,44
1945,49
1946,46
1947,60
1948,45
1949,55
1950,63
1951,50
1952,52
1953,56
1954,64
1955,77
1956,60
1957,51
1958,70
1959,66
1960,56
1961,59
1962,58
1963,50
1964,45
1965,40
1966,57
1967,39
1968,52
1969,65
1970,54
1971,49
1972,40
1973,58
1974,69
1975,80
1976,69
1977,69
1978,65
1979,76
1980,70
1981,78
1982,80
1983,56
1984,75
1985,69
1986,62
1987,67
1988,67
1989,69
1990,109
1991,87
1992,73
1993,96
1994,85
1995,85
1996,90
1997,83
1998,74
1999,74
2000,86
2001,101
2002,101
2003,128
2004,118
2005,119
2006,114
2007,193
2008,150
2009,170
2010,159
2011,198
2012,154
