year,Eston
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,0
1888,0
1889,0
1890,0
1891,5
1892,0
1893,0
1894,6
1895,0
1896,0
1897,0
1898,0
1899,0
1900,10
1901,5
1902,0
1903,6
1904,5
1905,6
1906,0
1907,7
1908,0
1909,10
1910,8
1911,6
1912,14
1913,25
1914,14
1915,40
1916,28
1917,36
1918,37
1919,34
1920,37
1921,34
1922,35
1923,37
1924,32
1925,30
1926,39
1927,31
1928,32
1929,21
1930,29
1931,22
1932,12
1933,21
1934,15
1935,31
1936,24
1937,16
1938,20
1939,17
1940,19
1941,22
1942,23
1943,17
1944,22
1945,13
1946,18
1947,13
1948,12
1949,19
1950,19
1951,15
1952,13
1953,10
1954,14
1955,5
1956,11
1957,10
1958,14
1959,7
1960,15
1961,10
1962,13
1963,8
1964,15
1965,7
1966,10
1967,11
1968,11
1969,9
1970,0
1971,5
1972,0
1973,9
1974,8
1975,6
1976,0
1977,8
1978,13
1979,6
1980,15
1981,11
1982,11
1983,6
1984,15
1985,10
1986,11
1987,9
1988,7
1989,7
1990,12
1991,17
1992,6
1993,11
1994,5
1995,9
1996,17
1997,7
1998,5
1999,18
2000,20
2001,21
2002,18
2003,17
2004,24
2005,16
2006,23
2007,18
2008,22
2009,18
2010,16
2011,25
2012,24
